sector,region,size,multiestablishment_firm,legal_status,percentage_ownership,owner_manager,number_companies_owned,private_foreing_companies,government_company,other_company,female_owner,family_ownership,ceo_politician,support_group,fte_started,manager_experience,top_manager_female,age_top_manager,education_top_manager,citizenship_top_manager,multinational_exp_top_manager,quality_certification,electrical_connection,power_outages,own_generator,application_water_connection,website,percentage_sales_main_product,sales,direct_sales,direct_sales_phone,direct_sales_online,direct_sales_other,national_sales,indirect_exports,direct_exports,losses_theft_products,domestic_supplies,foreign_supplies,formal_planning,taxes_prevent_growth,labor_reg_prevent_growth,market_demand_prevent_growth,kpis,production_targets,performance_bonus,main_market,competitors,foreign_technology,informal_competitors,product_innovation,product_inn_market,process_innovation,r&d,r&d_intensity,closing_covid,own_building,own_land,construction_permit,security,losses_fraudulent_transactions,internal_funds_workingcapital,bank_loans_workingcapital,other_loans_workingcapital,suppliers_customers_workingcapital,other_source_workingcapital,fixed_assets,savings_account,overdraft_facility,credit_line,outstanding_personal_loans,application_loans,certified_fin_statements,manager_timespent_regulations,tax_inspection,online_tax_payment,government_contract,percentage_informal_payments,import_lic,operating_licence,public_support,j30_taxrate_pos,j30_taxadmin_pos,j30_permit_pos,j30_instability_pos,j30_corruption_pos,j30_courts_pos,j30_safety_pos,j30_health_pos,j30_environment_pos,permanent_fte,permanent_fte_lastyear,EUl2_language_pos,EUl2_interpersonal_pos,EUl2_probsolve_pos,EUl2_manage_pos,EUl2_comp_pos,EUl2_math_pos,EUl2_tech_pos,temporal_workers,training,vacancies,EUl8_language_pos,EUl8_interpersonal_pos,EUl8_probsolve_pos,EUl8_manage_pos,EUl8_comp_pos,EUl8_math_pos,EUl8_tech_pos,m1a_finance_pos,m1a_land_pos,m1a_permit_pos,m1a_corruption_pos,m1a_courts_pos,m1a_crime_pos,m1a_trade_pos,m1a_electricity_pos,m1a_workforce_pos,m1a_labor_pos,m1a_instability_pos,m1a_informal_pos,m1a_taxadmin_pos,m1a_taxrate_pos,m1a_transport_pos,labor,cost_elctricity,weeks_remain_open,machinery_value,age,exp,innovation
Manufacturing,South Netherlands,Medium,1,Shareholding company with non-traded shares or shares traded privately,100,1,1,0,0,0,1,1,0,1,0,30,0,57,3,1,1,1,0,0,0,0,1,60,150000000.0,0,25,75,0,20,0,80,0,20,80,1,0,1,1,1,1,0,International,5.0,0,0,1,1,1,1,40000.0,0,100,100,0,1,0,100,0,0,0,0,1,1,0,0,1,0,1,5,0,1,0,0.0,0,1,0,1,8,9,5,3,7,6,4,2,9,9,1,4,2,5,3,7,6,0,0,1,1,4,2,5,3,7,6,13,12,1,5,10,7,14,4,15,11,9,8,3,6,2,400000,25000,0.0,800000.0,100.0,1,1
Retail services,East Netherlands,Small,1,Shareholding company with non-traded shares or shares traded privately,100,1,1,0,0,0,0,100,0,1,8,30,0,52,1,1,0,0,0,1,0,0,0,100,650000.0,100,0,0,0,100,0,0,0,80,20,1,0,0,1,1,1,0,Local,40.0,1,0,1,0,1,1,2000.0,1,0,0,0,1,1,0,0,0,100,0,0,1,0,0,0,0,1,10,0,1,0,0.0,0,0,1,9,8,6,4,3,5,1,7,2,8,8,7,5,6,4,3,2,1,2,1,1,7,5,6,4,3,2,1,9,11,6,14,13,12,4,15,2,5,8,1,3,10,7,113000,7000,4.0,0.0,4.0,0,1
Retail services,South Netherlands,Small,0,Shareholding company with non-traded shares or shares traded privately,25,1,1,0,0,0,1,0,0,1,7,23,0,48,3,1,1,1,0,0,0,0,1,95,2400000.0,99,0,1,0,100,0,0,0,10,90,1,0,0,0,1,1,1,Local,4.0,0,0,1,0,1,0,0.0,0,0,0,0,1,1,100,0,0,0,0,0,1,0,0,0,1,1,5,0,1,0,0.0,0,0,0,4,3,7,5,2,6,8,1,9,13,11,4,3,7,5,2,6,1,2,1,1,4,3,7,5,2,6,1,4,3,12,5,11,6,14,10,13,15,2,1,9,8,7,367000,0,8.0,0.0,4.0,0,1
Manufacturing,South Netherlands,Small,0,Other,50,1,1,0,0,0,1,100,0,1,0,39,0,56,1,1,0,1,0,0,0,0,1,100,507000.0,95,0,0,5,100,0,0,0,100,0,0,0,0,0,0,1,0,Local,10.0,0,0,1,1,1,0,0.0,0,100,100,0,1,0,20,80,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0.0,0,0,0,2,6,1,5,8,9,3,7,4,6,6,2,4,1,5,6,7,3,0,0,0,2,4,1,5,6,7,3,1,12,5,10,14,9,3,7,13,11,2,6,15,8,4,105000,25000,60.0,50000.0,102.0,0,1
Other services,West Netherlands,Small,0,Shareholding company with non-traded shares or shares traded privately,100,1,1,0,0,0,0,100,0,1,1,40,0,66,2,1,1,0,0,1,0,0,1,100,1050000.0,0,0,30,70,45,0,55,0,30,70,0,0,0,1,1,0,0,National,20.0,0,0,1,1,1,1,0.0,0,0,0,0,0,0,100,0,0,0,0,1,1,0,0,0,0,0,10,1,1,0,0.0,0,0,1,3,7,6,9,2,1,8,5,4,6,7,3,7,5,6,1,4,2,0,0,0,3,7,5,6,1,4,2,3,7,6,9,10,14,12,11,4,15,13,8,5,1,2,410000,0,5.0,0.0,29.0,1,1
Retail services,North Netherlands,Medium,0,Sole proprietorship,100,1,1,0,0,0,0,100,0,1,1,28,0,44,2,1,1,1,0,0,0,0,1,95,1653468.0,98,0,2,0,100,0,0,0,60,40,0,0,1,0,1,1,0,Local,6.0,0,0,0,0,0,0,0.0,0,0,0,0,1,1,0,0,100,0,0,1,1,1,0,0,0,1,10,0,1,0,0.0,0,0,0,6,2,1,8,4,3,5,9,7,5,4,6,2,1,7,4,3,5,2,1,1,6,2,1,7,4,3,5,6,2,11,1,14,3,12,15,13,8,5,10,7,4,9,106375,16800,0.0,0.0,3.0,0,0
Other services,West Netherlands,Small,0,Shareholding company with non-traded shares or shares traded privately,100,0,1,0,0,0,1,100,0,1,6,26,1,44,1,1,0,1,0,0,0,0,1,50,3203000.0,8,91,1,0,69,30,1,0,98,2,0,0,1,0,1,0,1,National,7.0,0,0,0,0,0,1,5000.0,0,100,80,0,1,0,100,0,0,0,0,1,1,0,0,0,0,1,20,0,1,0,0.0,0,0,0,4,5,9,2,3,8,6,1,7,7,8,4,5,7,2,3,1,6,0,1,1,4,5,7,2,3,1,6,4,5,9,12,3,11,13,15,7,10,14,2,6,8,1,440000,11000,4.0,0.0,38.0,1,0
Manufacturing,South Netherlands,Small,0,Shareholding company with non-traded shares or shares traded privately,100,1,1,0,0,0,0,100,0,1,1,15,0,36,2,1,0,0,1,0,0,0,1,80,1192000.0,0,100,0,0,100,0,0,0,20,80,1,1,0,1,1,1,1,National,5500.0,0,0,1,0,1,1,5000.0,0,0,0,0,1,0,70,30,0,0,0,0,1,1,0,0,0,0,2,0,1,0,0.0,0,1,0,4,6,9,2,1,3,5,7,8,8,7,4,6,5,2,7,1,3,0,1,1,4,6,5,2,7,1,3,4,11,13,15,1,3,5,7,8,12,6,14,10,9,2,360000,5000,0.0,400000.0,9.0,0,1
Other services,West Netherlands,Small,0,Shareholding company with non-traded shares or shares traded privately,100,0,70,0,0,0,0,100,0,1,4,13,0,41,2,1,0,0,0,0,0,0,1,80,8100000.0,0,85,15,0,95,5,0,0,70,30,0,1,0,1,1,1,1,International,8.0,0,0,0,0,0,1,100000.0,1,0,0,0,1,1,100,0,0,0,0,1,1,0,0,0,0,1,5,0,1,1,0.0,0,0,1,5,4,7,3,2,8,6,1,9,18,14,5,7,4,3,2,1,6,3,1,1,5,7,4,3,2,1,6,13,15,7,11,2,8,14,12,9,5,3,1,10,6,4,1200000,720,12.0,0.0,13.0,1,0
Manufacturing,South Netherlands,Small,1,Shareholding company with non-traded shares or shares traded privately,100,1,3,100,0,0,0,100,0,1,17,25,0,50,3,0,0,1,0,0,0,0,1,100,3100000.0,0,0,0,100,5,0,95,0,0,100,1,0,0,0,1,1,1,International,10.0,0,0,0,0,0,1,50000.0,1,0,0,1,0,0,0,0,0,15,85,1,1,0,0,0,0,1,5,0,1,0,0.0,0,0,1,4,8,6,9,7,5,2,3,1,15,12,4,3,6,1,7,5,2,0,0,1,4,3,6,1,7,5,2,4,13,6,9,7,11,2,12,10,1,14,15,8,5,3,845000,54000,12.0,1000000.0,5.0,1,0
Manufacturing,South Netherlands,Medium,0,Shareholding company with non-traded shares or shares traded privately,100,0,1,100,0,0,0,0,0,1,12,3,0,52,3,1,0,0,1,0,0,1,1,95,4200000.0,0,40,0,60,0,0,100,0,80,20,1,1,0,1,1,1,1,International,5.0,0,0,0,0,0,1,15000.0,0,0,0,0,0,0,80,0,0,20,0,0,1,1,0,1,1,1,4,1,1,1,0.0,0,0,0,3,6,4,5,2,7,8,1,9,12,0,6,3,4,5,2,7,1,0,0,1,6,3,4,5,2,7,1,3,6,15,5,2,7,12,13,9,11,1,14,10,8,4,1200000,5000,20.0,1000000.0,2.0,1,0
Retail services,East Netherlands,Small,1,Partnership,100,1,1,0,0,0,1,0,0,1,6,35,1,53,1,1,0,0,0,0,0,0,1,70,700000.0,100,0,0,0,100,0,0,0,0,0,0,0,1,0,1,1,0,Local,5500.0,1,1,0,0,0,0,0.0,1,0,0,0,1,1,90,0,0,0,10,0,1,1,0,0,0,0,0,0,1,0,0.0,0,0,1,7,2,9,3,4,8,6,5,1,1,1,1,2,5,3,4,7,6,0,0,0,1,2,5,3,4,7,6,7,12,5,9,4,8,6,14,13,11,3,2,15,10,1,80000,4000,2.0,0.0,23.0,0,0
Other services,West Netherlands,Medium,0,Shareholding company with non-traded shares or shares traded privately,70,0,18,0,0,30,0,0,0,1,2,8,0,27,2,1,1,0,0,0,0,0,1,85,980000.0,0,80,20,0,100,0,0,0,33,67,1,0,0,0,1,1,1,National,12.0,0,0,1,1,1,1,50000.0,0,0,0,0,1,0,75,0,25,0,0,1,1,1,1,0,0,1,0,0,1,1,0.0,0,0,1,8,7,4,3,2,5,9,1,6,5,0,6,7,4,3,2,5,1,2,1,1,6,7,4,3,2,5,1,10,7,4,14,2,11,9,8,13,12,15,3,6,1,5,620000,0,0.0,0.0,6.0,0,1
Manufacturing,West Netherlands,Small,1,Shareholding company with non-traded shares or shares traded privately,100,0,10,100,0,0,0,0,0,0,4,10,0,56,3,1,0,1,0,0,0,0,1,100,4000000.0,0,0,0,100,100,0,0,0,0,100,0,0,0,0,0,0,1,National,2.0,0,0,1,0,1,0,0.0,0,0,0,0,0,0,70,0,0,30,0,1,1,1,0,0,0,1,15,0,1,1,0.0,0,0,1,1,7,3,5,2,8,6,9,4,11,11,1,4,3,6,2,7,5,0,1,1,1,4,3,6,2,7,5,7,15,3,5,11,14,12,9,4,13,2,1,6,8,10,880000,600,52.0,80000.0,10.0,0,1
Other services,West Netherlands,Small,0,Shareholding company with non-traded shares or shares traded privately,100,1,1,0,0,0,0,100,0,1,1,30,0,56,2,1,1,0,0,0,0,0,1,70,20000000.0,0,0,2,98,90,10,0,0,100,0,0,0,0,1,1,1,1,National,5500.0,0,0,1,0,1,1,40000.0,0,100,100,0,1,0,100,0,0,0,0,1,1,1,0,0,0,1,3,0,1,0,0.0,0,0,0,4,7,5,6,8,3,1,2,9,15,5,4,6,5,7,2,3,1,0,1,1,4,6,5,7,2,3,1,15,1,5,11,12,10,3,2,13,7,14,8,9,6,4,1200000,10000,0.0,0.0,5.0,1,1
Manufacturing,North Netherlands,Small,0,Shareholding company with non-traded shares or shares traded privately,100,1,1,0,0,0,0,100,0,1,24,22,0,57,1,1,0,1,0,0,0,0,1,65,4305000.0,0,50,5,45,90,0,10,0,61,39,1,0,1,1,1,1,1,National,12.0,0,0,0,0,0,1,4480.0,0,0,0,0,1,1,100,0,0,0,0,1,1,0,0,0,0,1,10,0,1,1,0.0,0,0,0,3,5,8,6,9,1,2,7,4,25,24,3,4,7,5,6,1,2,0,1,1,3,4,7,5,6,1,2,3,1,15,12,9,11,2,7,14,13,5,6,10,4,8,1150000,12000,0.0,1410000.0,4.0,1,0
Retail services,North Netherlands,Small,0,Shareholding company with non-traded shares or shares traded privately,100,1,1,0,0,0,1,100,0,1,0,21,0,47,2,1,0,0,0,0,0,0,1,65,1041000.0,65,0,10,25,100,0,0,0,98,2,0,0,0,0,1,1,0,Local,5.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,10,40,0,37,13,1,1,1,1,0,1,1,5,0,0,0,0.0,0,0,1,3,1,4,7,2,5,9,8,6,5,1,3,4,1,7,2,5,6,12,0,1,3,4,1,7,2,5,6,3,7,4,10,14,5,9,11,12,15,13,6,8,1,2,393000,14449,3.0,0.0,11.0,0,0
Manufacturing,North Netherlands,Large,1,Shareholding company with non-traded shares or shares traded privately,17,0,1,0,0,0,1,33,0,1,2,0,0,34,2,1,0,0,0,1,1,0,1,60,18100000.0,1,99,0,0,33,0,67,0,40,60,1,0,0,1,1,1,0,International,1.0,0,0,0,0,0,1,20000.0,0,100,100,0,1,0,15,35,0,50,0,1,1,1,1,0,0,1,5,0,0,0,0.0,0,0,0,7,9,2,5,8,1,4,6,3,110,95,7,3,2,5,4,6,1,20,1,1,7,3,2,5,4,6,1,7,12,13,14,8,1,4,11,3,10,15,9,2,5,6,5000000,60000,0.0,8000000.0,59.0,1,0
Other services,North Netherlands,Small,0,Shareholding company with non-traded shares or shares traded privately,100,1,1,0,0,0,0,100,0,1,9,25,0,51,2,1,0,1,0,0,0,0,1,95,1100000.0,0,0,0,100,100,0,0,0,50,50,1,0,0,0,1,0,0,National,4.0,0,0,0,0,0,1,50000.0,0,0,0,0,1,0,100,0,0,0,0,0,1,1,0,0,0,0,5,0,1,1,0.0,0,0,0,4,6,2,8,3,5,9,7,1,14,12,4,6,2,7,3,5,1,0,0,1,4,6,2,7,3,5,1,4,6,10,13,3,5,11,7,1,12,9,2,14,15,8,600000,0,0.0,0.0,18.0,0,0
Manufacturing,East Netherlands,Medium,0,Shareholding company with non-traded shares or shares traded privately,100,1,1,0,0,0,1,100,0,1,2,40,0,62,1,1,0,0,0,0,1,0,1,100,10000000.0,100,0,0,0,50,0,50,0,90,10,1,0,0,0,1,1,1,International,10.0,0,0,0,0,0,0,0.0,0,100,100,0,1,0,10,0,0,0,0,1,1,0,0,0,0,1,10,0,1,0,0.0,0,0,1,7,8,5,3,6,4,2,9,1,45,45,7,1,5,3,6,4,2,0,1,1,7,1,5,3,6,4,2,7,1,15,14,12,4,2,10,11,8,13,6,9,3,5,0,100000,0.0,0.0,40.0,1,0
Retail services,West Netherlands,Medium,1,Shareholding company with non-traded shares or shares traded privately,50,1,1,0,0,0,0,50,0,1,21,5,0,41,3,1,0,0,0,1,0,0,1,40,3800000.0,90,5,5,0,20,0,80,3,0,100,0,1,1,1,1,1,1,International,25.0,0,1,1,1,1,1,7500.0,1,0,0,1,1,1,0,30,0,0,70,0,1,1,1,1,0,1,10,0,1,0,0.0,0,0,1,9,5,4,1,8,2,3,7,6,20,20,1,5,4,7,6,2,3,2,1,1,1,5,4,7,6,2,3,12,15,10,4,8,2,11,7,6,3,1,13,14,9,5,750000,30000,2.0,0.0,5.0,1,1
Manufacturing,West Netherlands,Medium,1,Shareholding company with non-traded shares or shares traded privately,90,0,3,0,0,0,0,90,0,1,5,4,0,41,1,1,0,0,0,1,1,0,1,50,3200000.0,0,100,0,0,45,50,5,0,0,100,1,0,0,1,1,1,1,National,200.0,1,0,1,1,1,0,0.0,0,0,0,0,1,0,100,0,0,0,0,1,1,1,0,0,0,1,2,0,1,0,0.0,0,0,0,8,1,7,2,4,9,3,6,5,35,25,6,1,7,2,4,5,3,1,1,1,6,1,7,2,4,5,3,8,12,7,15,14,11,1,6,5,13,9,4,3,10,2,1500000,10000,0.0,2700000.0,16.0,1,1
Manufacturing,East Netherlands,Medium,0,Shareholding company with non-traded shares or shares traded privately,70,0,1,0,0,0,0,70,0,1,6,30,0,45,2,1,0,0,1,0,0,0,1,65,4500000.0,0,0,0,100,40,0,60,0,50,50,1,0,0,0,1,1,0,International,0.0,0,0,1,1,1,1,500000.0,0,0,0,0,1,0,80,0,0,20,0,1,1,0,0,0,0,1,5,0,1,0,0.0,0,0,1,8,1,9,4,7,2,3,6,5,35,30,2,5,6,4,7,1,3,0,1,1,2,5,6,4,7,1,3,8,1,9,4,11,2,13,10,14,6,12,15,3,5,7,1500000,0,25.0,1500000.0,28.0,1,1
Manufacturing,South Netherlands,Large,1,Shareholding company with non-traded shares or shares traded privately,100,1,1,0,0,0,0,90,0,1,1,24,0,49,3,1,1,1,1,0,1,0,1,100,198000000.0,0,36,64,0,95,0,5,0,5,95,1,0,0,1,1,1,0,National,60.0,1,0,1,1,1,1,300000.0,0,100,100,1,1,0,96,0,0,4,0,1,1,1,0,0,0,1,10,1,1,0,0.0,0,0,0,1,9,6,4,3,5,8,7,2,143,143,1,4,6,5,3,2,7,0,0,1,1,4,6,5,3,2,7,11,9,6,13,3,1,8,12,15,14,10,7,4,5,2,13000000,2500000,1.0,40000000.0,123.0,1,1
Manufacturing,West Netherlands,Medium,1,Shareholding company with non-traded shares or shares traded privately,100,0,1,100,0,0,1,100,0,1,0,7,0,60,2,1,1,1,0,0,0,0,0,100,7000000.0,0,100,0,0,37,0,63,0,40,60,1,0,0,1,1,1,0,National,3.0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,100,0,0,0,0,0,1,0,0,0,0,0,10,0,1,0,0.0,0,0,0,3,7,6,1,8,2,5,9,4,44,40,3,7,6,1,4,2,5,12,0,1,3,7,6,1,4,2,5,3,13,6,1,12,2,15,10,11,9,4,14,7,8,5,2252000,114000,6.0,1315000.0,41.0,1,0
Other services,West Netherlands,Large,0,Shareholding company with non-traded shares or shares traded privately,50,1,1,0,0,0,0,100,0,1,3,16,0,41,3,1,0,1,1,0,0,0,1,100,20000000.0,0,0,0,100,30,0,70,0,20,80,0,1,0,0,1,1,0,International,10.0,0,0,1,1,1,1,200000.0,0,50,70,0,1,1,50,0,0,0,50,1,1,1,1,0,1,1,0,0,1,0,0.0,0,0,0,1,2,5,8,9,4,3,6,7,60,60,6,2,5,4,3,7,1,50,1,1,6,2,5,4,3,7,1,14,10,11,8,15,4,3,12,7,5,13,6,1,2,9,5500000,40000,0.0,0.0,35.0,1,1
Other services,West Netherlands,Medium,1,Shareholding company with non-traded shares or shares traded privately,100,0,25,100,0,0,0,0,0,1,130,16,0,40,2,1,0,1,1,0,0,0,1,100,47600000.0,0,60,30,10,60,30,10,0,5,95,1,0,1,1,1,1,1,National,6.0,0,1,1,1,1,0,0.0,0,0,0,0,1,0,90,10,0,0,0,1,1,0,1,0,1,1,1,0,1,0,0.0,0,0,1,4,8,3,7,2,5,6,9,1,67,89,4,1,3,7,2,5,6,4,1,1,4,1,3,7,2,5,6,14,9,3,12,2,11,6,10,15,8,5,13,7,4,1,3800000,30000,52.0,0.0,13.0,1,1
Other services,East Netherlands,Small,1,Shareholding company with non-traded shares or shares traded privately,55,1,1,0,0,0,1,100,0,1,2,30,0,63,3,1,0,1,0,1,0,0,1,100,12500000.0,5,25,70,0,98,1,1,0,95,5,1,0,1,0,1,1,1,National,5.0,0,0,1,1,1,0,0.0,0,100,0,0,1,0,70,30,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0.0,0,0,0,6,5,1,3,4,2,8,9,7,8,8,1,5,7,3,4,2,6,0,0,1,1,5,7,3,4,2,6,15,11,1,3,4,10,12,9,7,2,14,13,8,5,6,600000,15000,0.0,0.0,127.0,1,1
